Place_TractID,SiteId,PM2.5_Exceptional,PM2.5_ExceedCount,PM2.5_Max,Ozone_Exceptional,Ozone_ExceedCount,Ozone_Max
0804000-08001008100,481.0,0,2.0,46.3,0.0,0.0,0.068
0804000-08005006854,481.0,0,2.0,46.3,0.0,0.0,0.068
0804000-08005006855,481.0,0,2.0,46.3,0.0,0.0,0.068
0804000-08005081700,481.0,0,2.0,46.3,0.0,0.0,0.068
0804000-08005085900,481.0,0,2.0,46.3,0.0,0.0,0.068
0804000-08005086300,481.0,0,2.0,46.3,0.0,0.0,0.068
0804000-08035013901,481.0,0,2.0,46.3,0.0,0.0,0.068
0807850-08013012705,483.0,0,1.0,41.2,0.0,0.0,0.069
0807850-08013012707,483.0,0,1.0,41.2,0.0,0.0,0.069
0807850-08013012710,483.0,0,1.0,41.2,0.0,0.0,0.069
0812815-08005005612,481.0,0,2.0,46.3,0.0,0.0,0.068
0812815-08005006815,481.0,0,2.0,46.3,0.0,0.0,0.068
0812815-08005006854,481.0,0,2.0,46.3,0.0,0.0,0.068
0812815-08005083700,481.0,0,2.0,46.3,0.0,0.0,0.068
0812815-08005085800,481.0,0,2.0,46.3,0.0,0.0,0.068
0812815-08005085900,481.0,0,2.0,46.3,0.0,0.0,0.068
0816000-08041003400,481.0,0,2.0,46.3,0.0,0.0,0.068
0816000-08041005104,481.0,0,2.0,46.3,0.0,0.0,0.068
0816000-08041006700,481.0,0,2.0,46.3,0.0,0.0,0.068
0816000-08041007500,481.0,0,2.0,46.3,0.0,0.0,0.068
0816000-08041007601,481.0,0,2.0,46.3,0.0,0.0,0.068
0820000-08031001902,481.0,0,2.0,46.3,0.0,0.0,0.068
