tract,HPI
48201550302,242.06
48201550401,.
48201550402,.
48201550500,174.30
48201551000,.
48201551400,346.46
48201552002,238.35
48201552101,283.73
48201552800,346.46
48201552900,242.06
48201553001,242.06
48201553002,.
48201553200,.
48201980100,203.64
48203020604,309.51
48215020504,184.35
48215023504,201.16
48215023511,164.68
48215024105,201.16
48215024109,183.35
48245011201,426.27
48245011400,359.34
48253020101,217.20
48257050206,218.50
48303000605,144.51
48303010200,207.69
48303010508,354.93
48309001600,227.18
48309001700,227.18
48329010109,460.18
48355002900,322.41
48355005802,305.55
48375013400,368.78
48423001601,224.24
48439105006,286.95
48439110401,287.31
48439110500,287.31
48439111008,216.20
48439111016,326.81
48439111301,326.81
48439111545,430.92
48439113002,323.49
48439113116,323.49
48441012100,179.21
48441013200,231.19
48451001704,479.69
48453001606,1311.95
48453001742,414.02
48453001783,948.51
48453001784,330.54
48453001851,235.30
48453001855,549.53
48453001919,948.51
48453002212,219.49
48453002319,157.04
48453002429,327.71
48453002432,327.71
48479001710,222.36
48485011200,161.68
48491020310,539.47
48491020411,261.85
48491020806,235.77
48491021504,549.53
49011125403,336.64
49035110102,783.12
49035110300,856.18
49035111802,856.18
49035112503,353.90
49035112614,783.12
49035113526,410.08
49035113907,410.08
49035114500,414.62
49053270500,464.59
49057210100,447.10
49057210402,470.74
51510200701,921.35
51650011100,335.18
51680000500,175.23
51710006601,260.08
51740980100,183.24
51800075404,541.81
53005011501,554.80
53011041007,580.65
53011041110,838.35
53011041327,641.09
53033026001,1170.87
53033026100,508.61
53033026500,949.36
53033028300,933.85
53033029305,898.43
53033029601,839.29
53033029602,839.29
53033029700,839.29
53033031800,977.98
53033031903,977.98
53033031906,977.98
53053071601,661.33
53053071705,636.20
53053072310,900.47
53053940001,903.17
53053940002,751.40
53063005000,548.39
53063010100,541.83
53063011000,616.61
53063011202,258.89
53063012200,491.34
53063013201,296.43
53063013401,548.39
53077001300,261.97
53077002900,528.67
54039011000,185.34
54039011401,151.69
54039012300,232.64
54039012800,232.64
55009020100,242.10
55009020704,244.36
55009021302,270.45
55025011000,762.89
55059002602,379.68
55059002700,379.68
55079110100,269.53
55079120202,318.87
55079120400,318.87
55087012901,266.07
55087013300,244.36
55101000100,249.73
55101001504,232.43
55101001505,232.43
55133202902,340.44
55133203804,374.88
56021000402,268.00
56021002000,672.98
