 ZIP Code,Year,AnnualChange (%),HPI,HPI with 1990 base,HPI with 2000 base,tract,usps_zip_pref_city,usps_zip_pref_state,res_ratio,bus_ratio,oth_ratio,tot_ratio
77396,2017,8.65,213.8,291.54,170.89,48201250600,HUMBLE,TX,0,0.010909091,0.009615385,0.00063274
77396,2017,8.65,213.8,291.54,170.89,48201250402,HUMBLE,TX,0.036314728,0.011818182,0.019230769,0.034936274
77396,2017,8.65,213.8,291.54,170.89,48201250100,HUMBLE,TX,0.14588337,0.164545455,0.163461538,0.146976408
77401,2017,-1.12,764.19,372.15,211.84,48201412800,BELLAIRE,TX,0.264821537,0.007162041,0,0.224821063
77406,2017,7.22,217.59,238.39,194.71,48157673102,RICHMOND,TX,0.017094751,0.005714286,0.026845638,0.016588254
77406,2017,7.22,217.59,238.39,194.71,48157672900,RICHMOND,TX,0,0.006530612,0.013422819,0.000405581
77407,2017,.,.,.,.,48157673002,RICHMOND,TX,0.000121232,0.127906977,0.036363636,0.003299552
77407,2017,.,.,.,.,48157673003,RICHMOND,TX,0.029944233,0.011627907,0.036363636,0.029538848
77407,2017,.,.,.,.,48157672900,RICHMOND,TX,0.953689485,0.666112957,0.763636364,0.946068034
77429,2017,5.35,283.73,210.47,158.91,48201552101,CYPRESS,TX,0,0.000472367,0,2.79E-05
77429,2017,5.35,283.73,210.47,158.91,48201543002,CYPRESS,TX,0.002577242,0.047236656,0.042168675,0.005583785
77433,2017,0.64,229.03,218.88,176.58,48201543002,CYPRESS,TX,0.414408512,0.252503954,0.329317269,0.406262406
77449,2017,.,.,.,.,48201542400,KATY,TX,0.09307019,0.263696568,0.302180685,0.100930598
77450,2017,1.64,278.4,212.33,176.65,48201454501,KATY,TX,0,0.054425229,0.045801527,0.004198271
77450,2017,1.64,278.4,212.33,176.65,48201455200,KATY,TX,0.060496994,0.168870804,0.091603053,0.068301288
77450,2017,1.64,278.4,212.33,176.65,48201454700,KATY,TX,0.095761381,0.04577823,0.057251908,0.091938614
77450,2017,1.64,278.4,212.33,176.65,48157673002,KATY,TX,0.118773213,0.040183113,0.072519084,0.11289469
77450,2017,1.64,278.4,212.33,176.65,48201454502,KATY,TX,0.030937703,0.001017294,0,0.028576469
77450,2017,1.64,278.4,212.33,176.65,48157673003,KATY,TX,0.100815561,0.024415056,0.019083969,0.094760981
77459,2017,3.11,287.85,188.71,154.9,48157670800,MISSOURI CITY,TX,3.26E-05,0.000554631,0,6.12E-05
77459,2017,3.11,287.85,188.71,154.9,48157670700,MISSOURI CITY,TX,0.00571037,0,0,0.005359221
77459,2017,3.11,287.85,188.71,154.9,48157674502,MISSOURI CITY,TX,0.215688834,0.037160288,0.058536585,0.204844736
77469,2017,6.37,243.37,243.37,174.96,48157674602,RICHMOND,TX,0.018628719,0.017311609,0.009389671,0.018494976
77469,2017,6.37,243.37,243.37,174.96,48157674601,RICHMOND,TX,0,0.021384929,0.018779343,0.00102522
77477,2017,6.54,218.28,249.8,173.13,48157671800,STAFFORD,TX,0.109606927,0.535071612,0.371024735,0.182837285
77477,2017,6.54,218.28,249.8,173.13,48157671300,STAFFORD,TX,0.081569544,0.080426001,0.045936396,0.080264559
77479,2017,9.6,322.7,230.34,182.15,48157674602,SUGAR LAND,TX,0.073317308,0.001758499,0,0.069132934
77479,2017,9.6,322.7,230.34,182.15,48157674601,SUGAR LAND,TX,0.043933451,0.064478312,0.099601594,0.04539362
77489,2017,8.87,224.08,243.32,167.82,48157671300,MISSOURI CITY,TX,0.011235096,0.039840637,0.028169014,0.01287029
77489,2017,8.87,224.08,243.32,167.82,48157670700,MISSOURI CITY,TX,0.041806787,0.022576361,0.028169014,0.040696002
77489,2017,8.87,224.08,243.32,167.82,48157671800,MISSOURI CITY,TX,0.001452155,0.220451527,0.338028169,0.015027322
77494,2017,10.99,259.66,259.1,206.64,48201455200,KATY,TX,0,0.003920171,0.002375297,0.000247076
77494,2017,10.99,259.66,259.1,206.64,48157673102,KATY,TX,0.140623277,0.123663578,0.156769596,0.139783396
77494,2017,10.99,259.66,259.1,206.64,48157673003,KATY,TX,0.036677621,0.02209551,0.038004751,0.035846648
77494,2017,10.99,259.66,259.1,206.64,48201455300,KATY,TX,0.132595223,0.256236636,0.220902613,0.140504036
77498,2017,-2.4,194.71,241.82,177.57,48157672400,SUGAR LAND,TX,0.101701668,0.170702179,0.102564103,0.104780898
77498,2017,-2.4,194.71,241.82,177.57,48157672900,SUGAR LAND,TX,0.000113824,0,0,0.000107799
77504,2017,10.03,253.92,206.98,164.08,48201324000,PASADENA,TX,0.028866577,0.023084026,0.015584416,0.027904617
77505,2017,11.42,263.37,231.56,171.12,48201324000,PASADENA,TX,0.188657407,0.331192661,0.413793103,0.206164447
77520,2017,10.61,328.05,251.28,178.05,48201253400,BAYTOWN,TX,0.020151776,0.055473373,0.03525641,0.023176708
77530,2017,14.95,344.69,307.87,184.22,48201252500,CHANNELVIEW,TX,0.125763508,0.229185318,0.335917313,0.139554435
77532,2017,7.29,291.66,269.19,188.4,48201251901,CROSBY,TX,0.264094955,0.075117371,0.082706767,0.253090823
77539,2017,4.46,249.26,249.5,175.93,48167720800,DICKINSON,TX,0.0791194,0.125748503,0.105263158,0.082627493
